"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2kN05N1AQQplsgFweFAqYb","These Days","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:5lnQLEUiVDkLbFJHXHQu9m","Wasting Light","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2011-04-12","https://i.scdn.co/image/ab67616d0000b273fc14d5117520d5bce369a543","1","6","297971","https://p.scdn.co/mp3-preview/d7583617922f5df54e2ec97eb7643fba08a9035d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USRW31100008","spotify:user:212evkjibuisarid6stvinxoq","2026-03-18T19:56:40Z"
"spotify:track:57dem1V7wz8owejklpELCh","White Limo","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:5lnQLEUiVDkLbFJHXHQu9m","Wasting Light","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2011-04-12","https://i.scdn.co/image/ab67616d0000b273fc14d5117520d5bce369a543","1","4","202051","https://p.scdn.co/mp3-preview/46722f566782edffdd2ea6692e44df51c7f284c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USRW31100006","spotify:user:212evkjibuisarid6stvinxoq","2026-03-18T19:56:46Z"
"spotify:track:6tsojOQ5wHaIjKqIryLZK6","All My Life","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:1zQ6F8gMagKcPL4SoA80cx","One By One (Expanded Edition)","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2002-10-22","https://i.scdn.co/image/ab67616d0000b273bfff163b0602156a983fa079","1","1","263440","https://p.scdn.co/mp3-preview/f3cf56a45924d4cecd7ed50becfa51ec84a41e3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USRW30200001","spotify:user:212evkjibuisarid6stvinxoq","2026-03-18T19:56:56Z"
"spotify:track:7dIh8FF0EzYKS8STv3v4F4","Aurora","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:28q2N44ocJECgf8sbHEDfY","There Is Nothing Left To Lose","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1999-11-02","https://i.scdn.co/image/ab67616d0000b2736c52084ed1f1748f213783b3","1","6","349680","https://p.scdn.co/mp3-preview/94f0940f94fe0ffba506340c908c27b7316f701a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USRW39900007","spotify:user:212evkjibuisarid6stvinxoq","2026-03-18T19:57:31Z"
"spotify:track:2kh0u2d2YKQ7BCqeLPdHk6","Breakout","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:28q2N44ocJECgf8sbHEDfY","There Is Nothing Left To Lose","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1999-11-02","https://i.scdn.co/image/ab67616d0000b2736c52084ed1f1748f213783b3","1","2","200800","https://p.scdn.co/mp3-preview/216c7da3f744d354b2f9f7954bc5f36dd0109b5b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USRW39900004","spotify:user:212evkjibuisarid6stvinxoq","2026-03-18T19:57:48Z"
"spotify:track:1WwWjG2FGbBK6IkBBTknao","Next Year","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:28q2N44ocJECgf8sbHEDfY","There Is Nothing Left To Lose","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1999-11-02","https://i.scdn.co/image/ab67616d0000b2736c52084ed1f1748f213783b3","1","8","276213","https://p.scdn.co/mp3-preview/71d153b59016d9292a30063419449a605fd351b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USRW39900009","spotify:user:212evkjibuisarid6stvinxoq","2026-03-18T19:57:53Z"
"spotify:track:6vWu5uWlox5TVDPl3LvoG3","Under You","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:4wp4aWWpoYfNcspimVAnel","But Here We Are","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2023-06-02","https://i.scdn.co/image/ab67616d0000b2736fc1b2193f39c1eac7ad253d","1","2","219393","https://p.scdn.co/mp3-preview/a4e5e7fa84b4d262871f4eedfcfa87be72c4d547?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USRW32300017","spotify:user:212evkjibuisarid6stvinxoq","2026-03-18T19:58:12Z"
"spotify:track:5s18NymFEHOtiUMfVr6E3H","But Here We Are","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:4wp4aWWpoYfNcspimVAnel","But Here We Are","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2023-06-02","https://i.scdn.co/image/ab67616d0000b2736fc1b2193f39c1eac7ad253d","1","4","283469","https://p.scdn.co/mp3-preview/aff893b42ed6bd65b2841e3a699f63a163fcfe3a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USRW32300019","spotify:user:212evkjibuisarid6stvinxoq","2026-03-18T19:58:23Z"
"spotify:track:3nDstVXtr6xbCZKs5Ka2rZ","Rescued","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:4wp4aWWpoYfNcspimVAnel","But Here We Are","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2023-06-02","https://i.scdn.co/image/ab67616d0000b2736fc1b2193f39c1eac7ad253d","1","1","258648","https://p.scdn.co/mp3-preview/f3760c3be47e5fbfeb49aa9c1ad3e92d2c5270e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USRW32300016","spotify:user:212evkjibuisarid6stvinxoq","2026-03-18T19:58:52Z"
"spotify:track:67vYdAAM3oGsEImCRfbtsF","Times Like These","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:1zQ6F8gMagKcPL4SoA80cx","One By One (Expanded Edition)","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2002-10-22","https://i.scdn.co/image/ab67616d0000b273bfff163b0602156a983fa079","1","4","265560","https://p.scdn.co/mp3-preview/5468f9a74849b4288caced1fcaa6e40d3e4880cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USRW30200005","spotify:user:212evkjibuisarid6stvinxoq","2026-03-18T19:59:40Z"
